title,car_model_name,car_color,car_mileage,location,date,price
تويوتا روميون 2022,روميون,احمر,"6,000 كم",إمبابة,2024-04-26,"1,000,000 جنيه"
تويوتا كورولا 2002,كورولا,ذهبي,"300,000 كم",الإسكندرية,2024-04-26,"450,000 جنيه"
تويوتا كورولا 2023,كورولا,فضي,"5,000 كم",التجمع - القاهرة الجديدة,2024-04-26,"1,240,000 جنيه"
تويوتا كورولا 2024,كورولا,رمادي,0 كم,التجمع - القاهرة الجديدة,2024-04-26,"1,355,000 جنيه"
تويوتا كورولا 2005,كورولا,سماوى,- كم,بني سويف‎,2024-04-26,"430,000 جنيه"
تويوتا كورولا 2007,كورولا,سماوى,"240,000 كم",البحيرة,2024-04-26,"575,000 جنيه"
تويوتا افانزا 2012,افانزا,فيراني,"220,000 كم",المنيا‎,2024-04-25,"590,000 جنيه"
تويوتا كورولا 2023,كورولا,أبيض,- كم,مدينة نصر,2024-04-25,"1,420,000 جنيه"
تويوتا كورولا 2022,كورولا,فضي,"90,000 كم",6 أكتوبر,2024-04-25,"1,130,000 جنيه"
تويوتا تيرسل 1994,تيرسل,سماوى,"20,000 كم",القاهرة,2024-04-25,"120,000 جنيه"
تويوتا كورولا 1998,كورولا,احمر غامق,- كم,القاهرة,2024-04-25,"420,000 جنيه"
تويوتا كورولا 2008,كورولا,فضي,"280,000 كم",الإسماعيلية,2024-04-25,"590,000 جنيه"
تويوتا رش 2022,رش,أبيض,"15,000 كم",المنصورة,2024-04-25,"1,250,000 جنيه"
تويوتا كورولا 2010,كورولا,فضي,"200,000 كم",حدائق الاهرام,2024-04-25,"640,000 جنيه"
تويوتا ياريس 2015,ياريس,فضي,"150,000 كم",الإسكندرية,2024-04-25,"700,000 جنيه"
تويوتا كورولا 2020,كورولا,فضي,"94,000 كم",مدينة الشيخ زايد,2024-04-25,"1,075,000 جنيه"
تويوتا كورولا 2016,كورولا,فضي,"100,000 كم",التجمع - القاهرة الجديدة,2024-03-14,"880,000 جنيه"
تويوتا فورتشنر 2023,فورتشنر,أسود,"20,000 كم",6 أكتوبر,2024-04-24,"3,400,000 جنيه"
تويوتا كراون 1984,كراون,الأزرق الداكن,"190,000 كم",دكرنس,2024-04-24,"125,000 جنيه"
تويوتا برادو 2007,برادو,أسود,"300,000 كم",العريش / سينا,2024-04-24,"1,000,000 جنيه"
تويوتا كورولا 2022,كورولا,بترولي,"37,000 كم",بنها,2024-04-24,"1,100,000 جنيه"
تويوتا كورولا 2024,كورولا,أبيض,0 كم,الإسكندرية,2024-04-24,"1,310,000 جنيه"
تويوتا افانزا 2010,افانزا,ذهبي,"300,000 كم",قنا,2024-04-24,"530,000 جنيه"
تويوتا كورولا 1992,كورولا,الأزرق الداكن,"220,000 كم",دمياط,2024-04-24,"260,000 جنيه"
تويوتا هايلكس 2000,هايلكس,الأزرق الداكن,"99,000 كم",قنا,2024-04-24,"500,000 جنيه"
تويوتا كورولا 2016,كورولا,موكا,"127,000 كم",العاشر من رمضان,2024-04-24,"855,000 جنيه"
تويوتا ياريس 2008,ياريس,احمر,"250,000 كم",6 أكتوبر,2024-04-24,"445,000 جنيه"
تويوتا فورتشنر 2022,فورتشنر,الأزرق الداكن,"38,000 كم",الجيزة,2024-04-24,"2,800,000 جنيه"
تويوتا ياريس 2008,ياريس,أسود,"220,000 كم",القاهرة,2024-04-24,"350,000 جنيه"
تويوتا كورولا 2022,كورولا,برونزي,"60,000 كم",القاهرة,2024-04-23,"400,000 جنيه"
تويوتا كورولا 2020,كورولا,احمر,"195,000 كم",الجيزة,2024-04-23,"360,000 جنيه"
تويوتا فيلوز 2023,فيلوز,احمر,"6,000 كم",التجمع - القاهرة الجديدة,2024-04-23,"1,950,000 جنيه"
تويوتا كورولا 2007,كورولا,فضي,"112,000 كم",الجيزة,2024-04-23,"550,000 جنيه"
تويوتا كورولا 2020,كورولا,فضي,"120,000 كم",مدينة نصر,2024-04-23,"950,000 جنيه"
تويوتا كورولا 2018,كورولا,فضي,"147,000 كم",التجمع - القاهرة الجديدة,2024-04-23,"950,000 جنيه"
تويوتا كورولا 2021,كورولا,أسود,"13,000 كم",التجمع - القاهرة الجديدة,2024-04-23,"1,050,000 جنيه"
تويوتا كورولا 2023,كورولا,بترولي,20 كم,الشرقية,2024-04-07,"1,300,000 جنيه"
تويوتا كورولا 2020,كورولا,برونزي,"127,000 كم",6 أكتوبر,2024-04-23,"950,000 جنيه"
تويوتا كورولا 2024,كورولا,أبيض,144 كم,المنصورة,2024-04-23,"1,500,000 جنيه"
تويوتا كورولا 2014,كورولا,أبيض,"123,000 كم",الغربية,2024-04-23,"780,000 جنيه"
تويوتا كورولا 2020,كورولا,فضي,"100,000 كم",التجمع - القاهرة الجديدة,2024-04-23,"935,000 جنيه"
تويوتا فورتشنر 2013,فورتشنر,فضي,"243,000 كم",المعادى,2024-04-22,"1,300,000 جنيه"
تويوتا كورولا 2016,كورولا,أسود,"103,000 كم",الزمالك,2024-04-23,"870,000 جنيه"
تويوتا رش 2023,رش,احمر,"22,500 كم",مدينة نصر,2024-03-12,"1,270,000 جنيه"
تويوتا كورولا 2008,كورولا,أسود,"195,000 كم",التجمع - القاهرة الجديدة,2024-04-23,"485,000 جنيه"
تويوتا كورولا 2019,كورولا,فضي,"40,000 كم",القاهرة,2024-04-23,"1,050,000 جنيه"
تويوتا C-HR 2017,C-HR,أبيض,"123,000 كم",المنوفية,2024-04-23,"1,025,000 جنيه"
تويوتا هايلكس 2011,هايلكس,أبيض,"380,000 كم",6 أكتوبر,2024-04-22,"1,650,000 جنيه"
تويوتا كورولا 2013,كورولا,فضي,"257,000 كم",شرم الشيخ,2024-04-22,"725,000 جنيه"
تويوتا كورولا 2022,كورولا,فضي,"10,000 كم",إمبابة,2024-04-22,"1,450,000 جنيه"
تويوتا كورولا 2007,كورولا,فضي,"167,000 كم",الإسكندرية,2024-04-22,"470,000 جنيه"
تويوتا ياريس 2007,ياريس,احمر,"195,000 كم",بني سويف‎,2024-04-22,"420,000 جنيه"
تويوتا كورولا 2008,كورولا,أسود,"236,000 كم",التجمع - القاهرة الجديدة,2024-04-22,"459,000 جنيه"
تويوتا رش 2021,رش,فضي,"33,000 كم",مصر الجديدة,2024-04-22,"1,200,000 جنيه"
